state,Country,origin_id
Yoro,Honduras,967
Mexico,Mexico,968
Carazo,Nicaragua,969
Chimaltenango,Guatemala,970
Chiriquí,Panama,971
Chiriquí,Panama,972
Chiriquí,Panama,973
Pochuta,Guatemala,974
Cajamarca,Peru,975
Cajamarca,Peru,976
Chiquimula,Guatemala,977
Guatemala,Guatemala,978
Chiapas,Mexico,979
Oaxaca,Mexico,980
Oaxaca,Mexico,981
Sacatepequez,Guatemala,982
Veracruz,Mexico,983
Chiapas,Mexico,984
Jinotega,Nicaragua,985
Jinotega,Nicaragua,986
Chiapas,Mexico,987
Suchitepequez,Guatemala,988
Yoro,Honduras,989
Nueva Segovia,Nicaragua,990
Santa Barbara,Honduras,991
Huehuetenango,Guatemala,992
Pochuta,Guatemala,993
Oaxaca,Mexico,994
Morona Santiago,Ecuador,995
Guatemala,Guatemala,996
Guatemala,Guatemala,997
Oaxaca,Mexico,998
Tolima,Colombia,999
Santander,Colombia,1000
Pochuta,Guatemala,1001
Choluteca,Honduras,1002
Corquin,Honduras,1003
CHIAPAS,Mexico,1004
New York,United States of America (the),1005
Rhode Island,United States of America (the),1006
Rhode Island,United States of America (the),1007
Arizona,United States of America (the),1008
New Jersey,United States of America (the),1009
Missouri,United States of America (the),1010
California,United States of America (the),1011
California,United States of America (the),1012
Ohio,United States of America (the),1013
California,United States of America (the),1014
Chiapas,Mexico,1015
Washington,United States of America (the),1016
São Paulo,Brazil,1017
California,United States of America (the),1018
Idaho,United States of America (the),1019
Illinois,United States of America (the),1020
Wisconsin,United States of America (the),1021
California,United States of America (the),1022
California,United States of America (the),1023
California,United States of America (the),1024
Minas Gerais,Brazil,1025
SANTANDER,Colombia,1026
Oregon,United States of America (the),1027
Pennsylvania,United States of America (the),1028
Iowa,United States of America (the),1029
Iowa,United States of America (the),1030
Iowa,United States of America (the),1031
New York,United States of America (the),1032
California,United States of America (the),1033
