origin_id,state,Country
735,Cajamarca,Peru
736,Jaén,Peru
737,Amazonas,Peru
738,Nueva Segovia,Nicaragua
739,Jinotega,Nicaragua
740,Matagalpa,Nicaragua
741,Nueva Segovia,Nicaragua
742,Nueva Segovia,Nicaragua
743,Cajamarca,Peru
744,Cajamarca,Peru
745,Cajamarca,Peru
746,Amazonas,Peru
747,Matagalpa,Nicaragua
748,Cauca,Colombia
749,MG,Brazil
750,Minas Gerais,Brazil
751,Minas Gerais,Brazil
752,Ilheus,Brazil
753,San Marcos,Guatemala
754,Chimaltenango,Guatemala
755,San Marcos,Guatemala
756,Huehuetenango,Guatemala
757,San Marcos,Guatemala
758,La Paz,Bolivia (Plurinational State of)
759,La Paz,Bolivia (Plurinational State of)
760,La Paz,Bolivia (Plurinational State of)
761,Quiche,Guatemala
762,San Marcos,Guatemala
763,San Marcos,Guatemala
764,Quiche,Guatemala
765,Santa Rosa,Guatemala
766,Quiche,Guatemala
767,La Paz,Bolivia (Plurinational State of)
768,Quiche,Guatemala
769,Matagalpa,Nicaragua
770,Sonsonate,El Salvador
771,Sonsonate,El Salvador
772,PUEBLA,Mexico
773,Copan,Honduras
774,La Paz,Honduras
775,La Paz,Honduras
776,Intibucá,Honduras
777,La Paz,Honduras
778,Copán,Honduras
779,Copán,Honduras
780,Santa Bárbara,Honduras
781,Santa Bárbara,Honduras
782,La Paz,Honduras
783,La Paz,Honduras
784,La Paz,Honduras
785,Francisco Morazán,Honduras
786,Francisco Morazán,Honduras
787,Francisco Morazán,Honduras
788,Yoro,Honduras
789,Yoro,Honduras
790,Cauca,Colombia
791,Madriz,Nicaragua
792,Madriz,Nicaragua
793,Madriz,Nicaragua
794,San Juan del Rio Coco,Nicaragua
795,Madriz,Nicaragua
796,Jinotega,Nicaragua
797,Madriz,Nicaragua
798,Madriz,Nicaragua
799,Jinotega,Nicaragua
800,Estelí,Nicaragua
801,Estelí,Nicaragua
802,Jinotega,Nicaragua
803,Jinotega,Nicaragua
804,Departamento de Nueva Segovia,Nicaragua
805,Matagalpa,Nicaragua
806,Matagalpa,Nicaragua
807,Copan,Honduras
808,Corquin,Honduras
809,Corquin,Honduras
810,Intibuca,Honduras
811,Intibuca,Honduras
812,Minas Gerais,Brazil
813,La Paz,Honduras
814,La Paz,Honduras
815,Jinotega,Nicaragua
816,Cap Haitien,Haiti
817,Minas Gerais,Brazil
818,VERACRUZ,Mexico
819,OAXACA,Mexico
820,OAXACA,Mexico
821,Indiana,United States of America (the)
822,Iowa,United States of America (the)
823,La Paz,Bolivia (Plurinational State of)
824,Junin,Peru
825,Bolívar,Ecuador
826,La Paz,Honduras
827,CHIAPAS,Mexico
828,Oregon,United States of America (the)
829,North Carolina,United States of America (the)
830,California,United States of America (the)
831,Madríz,Nicaragua
832,HB,Germany
833,Maryland,United States of America (the)
834,Illinois,United States of America (the)
835,Ohio,United States of America (the)
836,Ohio,United States of America (the)
837,New York,United States of America (the)
838,Minnesota,United States of America (the)
839,Jawa Tengah,Indonesia
840,Aceh,Indonesia
841,Sumatra Utara,Indonesia
842,Sumatera Utara,Indonesia
843,Sumatera Utara,Indonesia
844,Sumatera Utara,Indonesia
845,Sumatera Utara,Indonesia
846,Utah,United States of America (the)
847,Missouri,United States of America (the)
848,São Paulo,Brazil
849,Hawaii,United States of America (the)
850,Minas Gerais,Brazil
851,Rhode Island,United States of America (the)
852,Idaho,United States of America (the)
853,California,United States of America (the)
854,Massachusetts,United States of America (the)
855,New York,United States of America (the)
856,Chiapas,Mexico
857,Veracruz,Mexico
858,Colorado,United States of America (the)
859,Guatemala,Guatemala
860,Chiangrai,Thailand
861,Chiang Mai,Thailand
862,Chiang Mai,Thailand
863,Idaho,United States of America (the)
864,Granada,Nicaragua
865,Minnesota,United States of America (the)
866,North Carolina,United States of America (the)
867,Maryland,United States of America (the)
868,Wisconsin,United States of America (the)
869,Vermont,United States of America (the)
870,California,United States of America (the)
871,Pennsylvania,United States of America (the)
872,MAGDALENA,Colombia
873,San Jose,Costa Rica
874,MAGDALENA,Colombia
875,Cajamarca,Peru
876,SANTANDER,Colombia
877,Santander,Colombia
878,New York,United States of America (the)
879,New Jersey,United States of America (the)
880,California,United States of America (the)
881,New York,United States of America (the)
882,Copan,Honduras
883,Copan,Honduras
884,Copan,Honduras
885,Intibuca,Honduras
886,Ocotepeque,Honduras
887,Ocotepeque,Honduras
888,Ocotepeque,Honduras
889,Cortes,Honduras
890,Cortes,Honduras
891,Santa Bárbara,Honduras
892,Santa Bárbara,Honduras
893,La Paz,Honduras
894,Copan,Honduras
895,Heredia,Costa Rica
896,Matagalpa,Nicaragua
897,San Martin,Peru
898,San Martin,Peru
899,Chiapas,Mexico
900,Colorado,United States of America (the)
901,California,United States of America (the)
902,Connecticut,United States of America (the)
903,Chiapas,Mexico
904,Sacatepequez,Guatemala
905,Oregon,United States of America (the)
906,California,United States of America (the)
907,Sololá,Guatemala
908,San Martin,Peru
909,California,United States of America (the)
910,Colorado,United States of America (the)
911,Massachusetts,United States of America (the)
912,California,United States of America (the)
913,Minnesota,United States of America (the)
914,California,United States of America (the)
915,Hong Kong,Hong Kong
916,Rhode Island,United States of America (the)
917,California,United States of America (the)
918,Lima,Peru
919,Cauca,Colombia
920,Matagalpa,Nicaragua
921,Quiche,Guatemala
922,Veracruz,Mexico
923,VERACRUZ,Mexico
924,Cortes,Honduras
925,Cortes,Honduras
926,ATLANTICO,Colombia
927,Minas Gerais,Brazil
928,La Paz,Honduras
929,La Paz,Honduras
930,La Paz,Honduras
931,La Paz,Honduras
932,SANTANDER,Colombia
933,Junín,Peru
934,Santa Rosa,Guatemala
935,Minnesota,United States of America (the)
936,California,United States of America (the)
937,New Jersey,United States of America (the)
938,Sao Paulo,Brazil
939,California,United States of America (the)
940,Texas,United States of America (the)
941,Texas,United States of America (the)
942,Wisconsin,United States of America (the)
943,Massachusetts,United States of America (the)
944,Bahia,Brazil
945,San Marcos,Guatemala
946,San Marcos,Guatemala
947,San Marcos,Guatemala
948,Guatemala,Guatemala
949,Managua,Nicaragua
950,Managua,Nicaragua
951,Managua,Nicaragua
952,Copan,Honduras
953,Copan,Honduras
954,Copan,Honduras
955,Copan,Honduras
956,Copan,Honduras
957,Chiapas,Mexico
958,Chiapas,Mexico
959,Chiapas,Mexico
960,Chiapas,Mexico
961,CALDAS,Colombia
962,São Paulo,Brazil
963,Michigan,United States of America (the)
964,Guatemala,Guatemala
965,San Marcos,Guatemala
966,Yoro,Honduras
967,Yoro,Honduras
968,Mexico,Mexico
969,Carazo,Nicaragua
970,Chimaltenango,Guatemala
971,Chiriquí,Panama
972,Chiriquí,Panama
973,Chiriquí,Panama
974,Pochuta,Guatemala
975,Cajamarca,Peru
976,Cajamarca,Peru
977,Chiquimula,Guatemala
978,Guatemala,Guatemala
979,Chiapas,Mexico
980,Oaxaca,Mexico
981,Oaxaca,Mexico
982,Sacatepequez,Guatemala
983,Veracruz,Mexico
984,Chiapas,Mexico
985,Jinotega,Nicaragua
986,Jinotega,Nicaragua
987,Chiapas,Mexico
988,Suchitepequez,Guatemala
989,Yoro,Honduras
990,Nueva Segovia,Nicaragua
991,Santa Barbara,Honduras
992,Huehuetenango,Guatemala
993,Pochuta,Guatemala
994,Oaxaca,Mexico
995,Morona Santiago,Ecuador
996,Guatemala,Guatemala
997,Guatemala,Guatemala
998,Oaxaca,Mexico
999,Tolima,Colombia
1000,Santander,Colombia
1001,Pochuta,Guatemala
1002,Choluteca,Honduras
1003,Corquin,Honduras
1004,CHIAPAS,Mexico
1005,New York,United States of America (the)
1006,Rhode Island,United States of America (the)
1007,Rhode Island,United States of America (the)
1008,Arizona,United States of America (the)
1009,New Jersey,United States of America (the)
1010,Missouri,United States of America (the)
1011,California,United States of America (the)
1012,California,United States of America (the)
1013,Ohio,United States of America (the)
1014,California,United States of America (the)
1015,Chiapas,Mexico
1016,Washington,United States of America (the)
